,xh1,xh2,xh3,xh4,xh5,xh6,xh7,xh8,xh9,xh10,xh11,xh12,xh13,xh14,xh15,xh16
3391,2,c_klmx:11,69,83,133,124,-,152,133,124,0.0856,136.2,平手/半球,必发.csv,2.0,
3433,5,c_klmx:102,64,94,107,120,-,158,107,120,0.1686,468.2,半球,利记.csv,2.0,
3582,4,c_klmx:101,39,39,71,93,-,78,71,93,0.1138,84.2,平手/半球,利记.csv,2.0,
3774,3,c_klmx:12,16,33,57,52,-,49,57,52,0.0627,10.9,平手/半球,利记.csv,2.0,
4250,0,c_klmx:31,95,151,148,134,-,246,148,134,0.2831,2482.7,平手/半球,香港马会.csv,2.0,
4397,1,c_klmx:32,39,41,27,27,-,80,27,27,0.5594,624.2,半球,威廉希尔.csv,1.0,
4740,2,c_klmx:11,75,103,161,144,-,178,161,144,0.0862,192.7,平手/半球,易胜博.csv,2.0,
4837,0,c_klmx:31,271,318,377,310,-,589,377,310,0.2796,14141.6,平手/半球,易胜博.csv,2.0,
5396,4,c_klmx:101,14,23,13,12,-,37,13,12,0.5592,133.6,平手/半球,竞彩官方.csv,1.0,
5767,4,c_klmx:101,2,1,11,5,-,3,11,5,0.5367,11.6,平手/半球,皇冠.csv,1.0,
6246,1,c_klmx:32,34,32,23,26,-,66,23,26,0.5113,384.2,平手/半球,BetfairESSportsbook.csv,1.0,
6339,1,c_klmx:32,20,40,25,28,-,60,25,28,0.4205,250.9,平手/半球,PMU.csv,1.0,
6440,4,c_klmx:101,19,23,28,14,-,42,28,14,0.4082,130.7,平手/半球,Betshop.csv,1.0,
6860,0,c_klmx:31,209,196,167,131,-,405,167,131,0.5188,14779.6,半球,Gwbet.csv,1.0,
6949,0,c_klmx:31,150,135,115,95,-,285,115,95,0.5166,7266.7,半球,竞彩官方.csv,1.0,
7318,0,c_klmx:31,156,130,130,91,-,286,130,91,0.4985,7098.0,半球,香港马会.csv,1.0,
8417,4,c_klmx:101,15,26,30,14,-,41,30,14,0.3913,122.9,平手/半球,香港马会.csv,1.0,
8807,1,c_klmx:32,43,47,42,42,-,90,42,42,0.3901,512.0,平手/半球,必发.csv,1.0,
9273,0,c_klmx:31,217,248,272,197,-,465,272,197,0.3626,12744.2,平手/半球,奥地利博彩.csv,1.0,
9274,0,c_klmx:31,229,289,291,228,-,518,291,228,0.3603,15510.9,平手/半球,必发.csv,1.0,
9550,0,c_klmx:31,182,231,241,179,-,413,241,179,0.3565,9798.2,平手/半球,Bet365.csv,1.0,
9829,2,c_klmx:11,31,50,69,35,-,81,69,35,0.3159,379.6,平手/半球,Bovada.csv,1.0,
9830,3,c_klmx:12,45,57,59,66,-,102,59,66,0.249,354.9,平手/半球,Stanleybet.it.csv,1.0,
