,code,name,cl,cljg,qz,files,gxsj
153,600543,莫高股份,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
242,300486,东杰智能,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
275,300675,建科院,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
318,300366,创意信息,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
353,000560,我爱我家,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
372,600249,两面针,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
494,300388,国祯环保,策略4,cci&dmi趋同折点为买卖点 买点在 2020-08-31 3 天前,10,bs10,202009040857
513,688288,鸿泉物联,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
594,603716,塞力斯,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
610,300229,拓尔思,策略4,cci&dmi趋同折点为买卖点 买点在 2020-08-31 3 天前,10,bs10,202009040857
644,300409,道氏技术,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
650,002308,威创股份,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
681,002314,南山控股,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
699,600850,华东电脑,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
763,300735,光弘科技,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
787,688021,奥福环保,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
827,600350,山东高速,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
851,002873,新天药业,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,10,bs10,202009040857
858,002194,武汉凡谷,策略4,cci&dmi趋同折点为买卖点 买点在 2020-08-31 3 天前,10,bs10,202009040857
870,300483,沃施股份,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
873,002745,木林森,策略4,cci&dmi趋同折点为买卖点 买点在 2020-08-31 3 天前,10,bs10,202009040857
915,300353,东土科技,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-01 2 天前,10,bs10,202009040857
