,code,name,cl,cljg,qz,files,gxsj
46,603283,赛腾股份,策略6,ai样本买点,11,aiyb11,202008191728
63,300136,信维通信,策略6,ai样本买点,11,aiyb11,202008191728
97,601231,环旭电子,策略6,ai样本买点,11,aiyb11,202008191728
118,300151,昌红科技,策略6,ai样本买点,11,aiyb11,202008191728
136,002625,光启技术,策略6,ai样本买点,11,aiyb11,202008191728
159,300094,国联水产,策略6,ai样本买点,11,aiyb11,202008191728
179,002729,好利来,策略6,ai样本买点,11,aiyb11,202008191728
185,000668,荣丰控股,策略6,ai样本买点,11,aiyb11,202008191728
194,603301,振德医疗,策略6,ai样本买点,11,aiyb11,202008191728
201,300648,星云股份,策略6,ai样本买点,11,aiyb11,202008191728
248,300414,中光防雷,策略6,ai样本买点,11,aiyb11,202008191728
251,300579,数字认证,策略6,ai样本买点,11,aiyb11,202008191728
260,603985,恒润股份,策略6,ai样本买点,11,aiyb11,202008191728
283,603518,锦泓集团,策略6,ai样本买点,11,aiyb11,202008191728
304,002136,安 纳 达,策略6,ai样本买点,11,aiyb11,202008191728
332,002516,旷达科技,策略6,ai样本买点,11,aiyb11,202008191728
341,300227,光韵达,策略6,ai样本买点,11,aiyb11,202008191728
367,002433,太安堂,策略6,ai样本买点,11,aiyb11,202008191728
397,000531,穗恒运Ａ,策略6,ai样本买点,11,aiyb11,202008191728
429,002580,圣阳股份,策略6,ai样本买点,11,aiyb11,202008191728
487,002104,恒宝股份,策略6,ai样本买点,11,aiyb11,202008191728
489,002540,亚太科技,策略6,ai样本买点,11,aiyb11,202008191728
494,000762,西藏矿业,策略6,ai样本买点,11,aiyb11,202008191728
503,601212,白银有色,策略6,ai样本买点,11,aiyb11,202008191728
507,002137,麦达数字,策略6,ai样本买点,11,aiyb11,202008191728
509,600864,哈投股份,策略6,ai样本买点,11,aiyb11,202008191728
536,300238,冠昊生物,策略6,ai样本买点,11,aiyb11,202008191728
541,002534,杭锅股份,策略6,ai样本买点,11,aiyb11,202008191728
559,300555,路通视信,策略6,ai样本买点,11,aiyb11,202008191728
566,002808,恒久科技,策略6,ai样本买点,11,aiyb11,202008191728
