,code,name,cl,clname,gxsj
509,300742,越博动力,2,策略1-处于弱势区域 rs2,202007262355
512,002830,名雕股份,2,策略1-处于弱势区域 rs2,202007262355
520,002058,威 尔 泰,2,策略1-处于弱势区域 rs2,202007262355
540,300475,聚隆科技,2,策略1-处于弱势区域 rs2,202007262355
542,603703,盛洋科技,2,策略1-处于弱势区域 rs2,202007262355
543,600217,中再资环,2,策略1-处于弱势区域 rs2,202007262355
547,600078,澄星股份,2,策略1-处于弱势区域 rs2,202007262355
548,600990,四创电子,2,策略1-处于弱势区域 rs2,202007262355
561,300264,佳创视讯,2,策略1-处于弱势区域 rs2,202007262355
569,601919,中远海控,2,策略1-处于弱势区域 rs2,202007262355
579,600664,哈药股份,2,策略1-处于弱势区域 rs2,202007262355
580,002790,瑞尔特,2,策略1-处于弱势区域 rs2,202007262355
583,600278,东方创业,2,策略1-处于弱势区域 rs2,202007262355
593,002207,准油股份,2,策略1-处于弱势区域 rs2,202007262355
597,600448,华纺股份,2,策略1-处于弱势区域 rs2,202007262355
600,002412,汉森制药,2,策略1-处于弱势区域 rs2,202007262355
601,002503,搜于特,2,策略1-处于弱势区域 rs2,202007262355
611,002579,中京电子,2,策略1-处于弱势区域 rs2,202007262355
625,603658,安图生物,2,策略1-处于弱势区域 rs2,202007262355
629,300250,初灵信息,2,策略1-处于弱势区域 rs2,202007262355
633,603089,正裕工业,2,策略1-处于弱势区域 rs2,202007262355
637,002927,泰永长征,2,策略1-处于弱势区域 rs2,202007262355
638,002909,集泰股份,2,策略1-处于弱势区域 rs2,202007262355
640,601106,中国一重,2,策略1-处于弱势区域 rs2,202007262355
642,002902,铭普光磁,2,策略1-处于弱势区域 rs2,202007262355
648,603963,大理药业,2,策略1-处于弱势区域 rs2,202007262355
651,300282,三盛教育,2,策略1-处于弱势区域 rs2,202007262355
652,603605,珀莱雅,2,策略1-处于弱势区域 rs2,202007262355
660,601100,恒立液压,2,策略1-处于弱势区域 rs2,202007262355
666,601339,百隆东方,2,策略1-处于弱势区域 rs2,202007262355
677,603366,日出东方,2,策略1-处于弱势区域 rs2,202007262355
680,002907,华森制药,2,策略1-处于弱势区域 rs2,202007262355
687,603507,振江股份,2,策略1-处于弱势区域 rs2,202007262355
707,000776,广发证券,2,策略1-处于弱势区域 rs2,202007262355
709,002284,亚太股份,2,策略1-处于弱势区域 rs2,202007262355
717,300621,维业股份,2,策略1-处于弱势区域 rs2,202007262355
718,603040,新坐标,2,策略1-处于弱势区域 rs2,202007262355
720,300342,天银机电,2,策略1-处于弱势区域 rs2,202007262355
721,002242,九阳股份,2,策略1-处于弱势区域 rs2,202007262355
730,603022,新通联,2,策略1-处于弱势区域 rs2,202007262355
