,code,name,cl,cljg,qz,files,gxsj
15,300293,蓝英装备,策略6,ai样本买点,1,aiyb1,202009080121
39,600983,惠而浦,策略6,ai样本买点,1,aiyb1,202009080121
51,000517,荣安地产,策略6,ai样本买点,1,aiyb1,202009080121
55,600831,广电网络,策略6,ai样本买点,1,aiyb1,202009080121
57,002315,焦点科技,策略6,ai样本买点,1,aiyb1,202009080121
59,000590,启迪古汉,策略6,ai样本买点,1,aiyb1,202009080121
88,002153,石基信息,策略6,ai样本买点,1,aiyb1,202009080121
108,603185,上机数控,策略6,ai样本买点,1,aiyb1,202009080121
119,002758,华通医药,策略6,ai样本买点,1,aiyb1,202009080121
147,600463,空港股份,策略6,ai样本买点,1,aiyb1,202009080121
155,603658,安图生物,策略6,ai样本买点,1,aiyb1,202009080121
166,600233,圆通速递,策略6,ai样本买点,1,aiyb1,202009080121
183,600151,航天机电,策略6,ai样本买点,1,aiyb1,202009080121
202,600438,通威股份,策略6,ai样本买点,1,aiyb1,202009080121
207,002556,辉隆股份,策略6,ai样本买点,1,aiyb1,202009080121
212,601968,宝钢包装,策略6,ai样本买点,1,aiyb1,202009080121
214,000860,顺鑫农业,策略6,ai样本买点,1,aiyb1,202009080121
241,300788,中信出版,策略6,ai样本买点,1,aiyb1,202009080121
258,603899,晨光文具,策略6,ai样本买点,1,aiyb1,202009080121
262,603768,常青股份,策略6,ai样本买点,1,aiyb1,202009080121
286,300725,药石科技,策略6,ai样本买点,1,aiyb1,202009080121
304,603040,新坐标,策略6,ai样本买点,1,aiyb1,202009080121
313,688099,晶晨股份,策略6,ai样本买点,1,aiyb1,202009080121
317,002250,联化科技,策略6,ai样本买点,1,aiyb1,202009080121
348,603337,杰克股份,策略6,ai样本买点,1,aiyb1,202009080121
383,603877,太平鸟,策略6,ai样本买点,1,aiyb1,202009080121
397,603697,有友食品,策略6,ai样本买点,1,aiyb1,202009080121
411,300149,量子生物,策略6,ai样本买点,1,aiyb1,202009080121
434,603778,乾景园林,策略6,ai样本买点,1,aiyb1,202009080121
447,300285,国瓷材料,策略6,ai样本买点,1,aiyb1,202009080121
451,300719,安达维尔,策略6,ai样本买点,1,aiyb1,202009080121
455,603345,安井食品,策略6,ai样本买点,1,aiyb1,202009080121
470,000959,首钢股份,策略6,ai样本买点,1,aiyb1,202009080121
478,603267,鸿远电子,策略6,ai样本买点,1,aiyb1,202009080121
488,603489,八方股份,策略6,ai样本买点,1,aiyb1,202009080121
507,000913,钱江摩托,策略6,ai样本买点,1,aiyb1,202009080121
513,603728,鸣志电器,策略6,ai样本买点,1,aiyb1,202009080121
519,603311,金海环境,策略6,ai样本买点,1,aiyb1,202009080121
538,000423,东阿阿胶,策略6,ai样本买点,1,aiyb1,202009080121
557,300399,京天利,策略6,ai样本买点,1,aiyb1,202009080121
565,300337,银邦股份,策略6,ai样本买点,1,aiyb1,202009080121
580,600735,新华锦,策略6,ai样本买点,1,aiyb1,202009080121
584,002677,浙江美大,策略6,ai样本买点,1,aiyb1,202009080121
636,002913,奥士康,策略6,ai样本买点,1,aiyb1,202009080121
649,300760,迈瑞医疗,策略6,ai样本买点,1,aiyb1,202009080121
691,000502,绿景控股,策略6,ai样本买点,1,aiyb1,202009080121
695,603886,元祖股份,策略6,ai样本买点,1,aiyb1,202009080121
700,300206,理邦仪器,策略6,ai样本买点,1,aiyb1,202009080121
712,601028,玉龙股份,策略6,ai样本买点,1,aiyb1,202009080121
728,300658,延江股份,策略6,ai样本买点,1,aiyb1,202009080121
732,300775,三角防务,策略6,ai样本买点,1,aiyb1,202009080121
738,600436,片仔癀,策略6,ai样本买点,1,aiyb1,202009080121
780,300246,宝莱特,策略6,ai样本买点,1,aiyb1,202009080121
786,000838,财信发展,策略6,ai样本买点,1,aiyb1,202009080121
