,code,name,cl,clname,gxsj
2860,601928,凤凰传媒,1,策略6----背驰6 bc6,202007112220
2877,002442,龙星化工,1,策略6----背驰6 bc6,202007112220
2906,000333,美的集团,1,策略6----背驰6 bc6,202007112220
2958,603222,济民制药,1,策略6----背驰6 bc6,202007112220
2960,002387,维信诺,1,策略6----背驰6 bc6,202007112220
3004,603083,剑桥科技,1,策略6----背驰6 bc6,202007112220
3007,600053,九鼎投资,1,策略6----背驰6 bc6,202007112220
3025,603979,金诚信,1,策略6----背驰6 bc6,202007112220
3035,002860,星帅尔,1,策略6----背驰6 bc6,202007112220
3042,600682,南京新百,1,策略6----背驰6 bc6,202007112220
3169,600382,广东明珠,1,策略6----背驰6 bc6,202007112220
3185,000570,苏常柴Ａ,1,策略6----背驰6 bc6,202007112220
3187,603999,读者传媒,1,策略6----背驰6 bc6,202007112220
3250,300409,道氏技术,1,策略6----背驰6 bc6,202007112220
3297,600690,海尔智家,1,策略6----背驰6 bc6,202007112220
3406,300490,华自科技,1,策略6----背驰6 bc6,202007112220
3408,603378,亚士创能,1,策略6----背驰6 bc6,202007112220
3492,600655,豫园股份,1,策略6----背驰6 bc6,202007112220
3504,000701,厦门信达,1,策略6----背驰6 bc6,202007112220
3518,603313,梦百合,1,策略6----背驰6 bc6,202007112220
3560,002903,宇环数控,1,策略6----背驰6 bc6,202007112220
3586,002380,科远智慧,1,策略6----背驰6 bc6,202007112220
3600,603989,艾华集团,1,策略6----背驰6 bc6,202007112220
3607,600831,广电网络,1,策略6----背驰6 bc6,202007112220
3614,603039,泛微网络,1,策略6----背驰6 bc6,202007112220
3615,603595,东尼电子,1,策略6----背驰6 bc6,202007112220
3622,002663,普邦股份,1,策略6----背驰6 bc6,202007112220
3647,600624,复旦复华,1,策略6----背驰6 bc6,202007112220
3660,603787,新日股份,1,策略6----背驰6 bc6,202007112220
3676,300406,九强生物,1,策略6----背驰6 bc6,202007112220
3724,300337,银邦股份,1,策略6----背驰6 bc6,202007112220
3740,002222,福晶科技,1,策略6----背驰6 bc6,202007112220
3787,600160,巨化股份,1,策略6----背驰6 bc6,202007112220
3805,002319,乐通股份,1,策略6----背驰6 bc6,202007112220
3819,002681,奋达科技,1,策略6----背驰6 bc6,202007112220
3825,600995,文山电力,1,策略6----背驰6 bc6,202007112220
3837,600961,株冶集团,1,策略6----背驰6 bc6,202007112220
3838,000665,湖北广电,1,策略6----背驰6 bc6,202007112220
3843,002769,普路通,1,策略6----背驰6 bc6,202007112220
3918,002497,雅化集团,1,策略6----背驰6 bc6,202007112220
3939,300118,东方日升,1,策略6----背驰6 bc6,202007112220
3980,002635,安洁科技,1,策略6----背驰6 bc6,202007112220
4037,603129,春风动力,1,策略6----背驰6 bc6,202007112220
4133,603486,科沃斯,1,策略6----背驰6 bc6,202007112220
4149,300188,美亚柏科,1,策略6----背驰6 bc6,202007112220
4161,000823,超声电子,1,策略6----背驰6 bc6,202007112220
4172,600130,波导股份,1,策略6----背驰6 bc6,202007112220
