,code,name,cl,cljg,qz,files,gxsj
23,300131,英唐智控,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
37,300526,中潜股份,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
51,600321,正源股份,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
166,300630,普利制药,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
185,603589,口子窖,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
188,300700,岱勒新材,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
197,300803,指南针,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
245,603901,永创智能,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
349,300140,中环装备,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
361,300785,值得买,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
375,002472,双环传动,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
383,300464,星徽精密,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
399,603317,天味食品,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
446,300360,炬华科技,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
501,600419,天润乳业,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
544,600199,金种子酒,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
582,002524,光正集团,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
596,603198,迎驾贡酒,策略4,cci&dmi趋同折点为买卖点 买点在 2020-09-02 1 天前,1,bs1,202009040857
