,code,name,cl,clname,gxsj
187,002631,德尔未来,1,策略3----macd红柱 yhz,202007112220
188,300163,先锋新材,1,策略3----macd红柱 yhz,202007112220
191,600838,上海九百,1,策略3----macd红柱 yhz,202007112220
193,600733,北汽蓝谷,1,策略3----macd红柱 yhz,202007112220
195,002605,姚记科技,1,策略3----macd红柱 yhz,202007112220
198,002307,北新路桥,1,策略3----macd红柱 yhz,202007112220
200,603601,再升科技,1,策略3----macd红柱 yhz,202007112220
202,000902,新洋丰,1,策略3----macd红柱 yhz,202007112220
203,002505,大康农业,1,策略3----macd红柱 yhz,202007112220
204,600250,南纺股份,1,策略3----macd红柱 yhz,202007112220
205,600133,东湖高新,1,策略3----macd红柱 yhz,202007112220
207,600300,维维股份,1,策略3----macd红柱 yhz,202007112220
209,002851,麦格米特,1,策略3----macd红柱 yhz,202007112220
212,600359,新农开发,1,策略3----macd红柱 yhz,202007112220
215,000976,华铁股份,1,策略3----macd红柱 yhz,202007112220
216,600532,宏达矿业,1,策略3----macd红柱 yhz,202007112220
217,300233,金城医药,1,策略3----macd红柱 yhz,202007112220
218,002332,仙琚制药,1,策略3----macd红柱 yhz,202007112220
219,603429,集友股份,1,策略3----macd红柱 yhz,202007112220
220,600251,冠农股份,1,策略3----macd红柱 yhz,202007112220
222,600150,中国船舶,1,策略3----macd红柱 yhz,202007112220
224,600419,天润乳业,1,策略3----macd红柱 yhz,202007112220
226,601100,恒立液压,1,策略3----macd红柱 yhz,202007112220
228,002626,金达威,1,策略3----macd红柱 yhz,202007112220
229,002584,西陇科学,1,策略3----macd红柱 yhz,202007112220
232,600600,青岛啤酒,1,策略3----macd红柱 yhz,202007112220
234,002002,鸿达兴业,1,策略3----macd红柱 yhz,202007112220
236,603393,新天然气,1,策略3----macd红柱 yhz,202007112220
237,603896,寿仙谷,1,策略3----macd红柱 yhz,202007112220
239,600312,平高电气,1,策略3----macd红柱 yhz,202007112220
240,002165,红 宝 丽,1,策略3----macd红柱 yhz,202007112220
242,600778,友好集团,1,策略3----macd红柱 yhz,202007112220
244,600027,华电国际,1,策略3----macd红柱 yhz,202007112220
246,300334,津膜科技,1,策略3----macd红柱 yhz,202007112220
247,300489,中飞股份,1,策略3----macd红柱 yhz,202007112220
251,002352,顺丰控股,1,策略3----macd红柱 yhz,202007112220
253,600760,中航沈飞,1,策略3----macd红柱 yhz,202007112220
254,600550,保变电气,1,策略3----macd红柱 yhz,202007112220
255,002193,如意集团,1,策略3----macd红柱 yhz,202007112220
257,603005,晶方科技,1,策略3----macd红柱 yhz,202007112220
259,000833,粤桂股份,1,策略3----macd红柱 yhz,202007112220
260,600108,亚盛集团,1,策略3----macd红柱 yhz,202007112220
263,600386,北巴传媒,1,策略3----macd红柱 yhz,202007112220
264,002755,奥赛康,1,策略3----macd红柱 yhz,202007112220
266,603128,华贸物流,1,策略3----macd红柱 yhz,202007112220
267,002660,茂硕电源,1,策略3----macd红柱 yhz,202007112220
269,002562,兄弟科技,1,策略3----macd红柱 yhz,202007112220
271,000930,中粮科技,1,策略3----macd红柱 yhz,202007112220
272,000739,普洛药业,1,策略3----macd红柱 yhz,202007112220
275,603020,爱普股份,1,策略3----macd红柱 yhz,202007112220
276,300589,江龙船艇,1,策略3----macd红柱 yhz,202007112220
278,300440,运达科技,1,策略3----macd红柱 yhz,202007112220
281,600073,上海梅林,1,策略3----macd红柱 yhz,202007112220
282,603035,常熟汽饰,1,策略3----macd红柱 yhz,202007112220
283,000821,京山轻机,1,策略3----macd红柱 yhz,202007112220
285,002375,亚厦股份,1,策略3----macd红柱 yhz,202007112220
286,603879,永悦科技,1,策略3----macd红柱 yhz,202007112220
288,603357,设计总院,1,策略3----macd红柱 yhz,202007112220
289,300698,万马科技,1,策略3----macd红柱 yhz,202007112220
291,300516,久之洋,1,策略3----macd红柱 yhz,202007112220
293,601002,晋亿实业,1,策略3----macd红柱 yhz,202007112220
295,300310,宜通世纪,1,策略3----macd红柱 yhz,202007112220
298,002269,美邦服饰,1,策略3----macd红柱 yhz,202007112220
300,000848,承德露露,1,策略3----macd红柱 yhz,202007112220
302,603363,傲农生物,1,策略3----macd红柱 yhz,202007112220
304,002221,东华能源,1,策略3----macd红柱 yhz,202007112220
306,300419,浩丰科技,1,策略3----macd红柱 yhz,202007112220
308,300525,博思软件,1,策略3----macd红柱 yhz,202007112220
309,300636,同和药业,1,策略3----macd红柱 yhz,202007112220
311,002719,麦趣尔,1,策略3----macd红柱 yhz,202007112220
313,002475,立讯精密,1,策略3----macd红柱 yhz,202007112220
314,600420,现代制药,1,策略3----macd红柱 yhz,202007112220
316,002062,宏润建设,1,策略3----macd红柱 yhz,202007112220
317,600984,建设机械,1,策略3----macd红柱 yhz,202007112220
319,002277,友阿股份,1,策略3----macd红柱 yhz,202007112220
320,600371,万向德农,1,策略3----macd红柱 yhz,202007112220
321,000153,丰原药业,1,策略3----macd红柱 yhz,202007112220
323,300461,田中精机,1,策略3----macd红柱 yhz,202007112220
327,002650,加加食品,1,策略3----macd红柱 yhz,202007112220
329,000534,万泽股份,1,策略3----macd红柱 yhz,202007112220
331,002820,桂发祥,1,策略3----macd红柱 yhz,202007112220
333,600729,重庆百货,1,策略3----macd红柱 yhz,202007112220
335,002551,尚荣医疗,1,策略3----macd红柱 yhz,202007112220
337,002761,多喜爱,1,策略3----macd红柱 yhz,202007112220
339,002503,搜于特,1,策略3----macd红柱 yhz,202007112220
341,002060,粤 水 电,1,策略3----macd红柱 yhz,202007112220
343,002087,新野纺织,1,策略3----macd红柱 yhz,202007112220
344,300273,和佳股份,1,策略3----macd红柱 yhz,202007112220
345,600538,国发股份,1,策略3----macd红柱 yhz,202007112220
348,300003,乐普医疗,1,策略3----macd红柱 yhz,202007112220
350,000635,英 力 特,1,策略3----macd红柱 yhz,202007112220
351,603985,恒润股份,1,策略3----macd红柱 yhz,202007112220
352,600449,宁夏建材,1,策略3----macd红柱 yhz,202007112220
353,002508,老板电器,1,策略3----macd红柱 yhz,202007112220
355,300189,神农科技,1,策略3----macd红柱 yhz,202007112220
357,600057,厦门象屿,1,策略3----macd红柱 yhz,202007112220
359,002538,司尔特,1,策略3----macd红柱 yhz,202007112220
360,002556,辉隆股份,1,策略3----macd红柱 yhz,202007112220
364,300174,元力股份,1,策略3----macd红柱 yhz,202007112220
365,002459,晶澳科技,1,策略3----macd红柱 yhz,202007112220
367,600651,飞乐音响,1,策略3----macd红柱 yhz,202007112220
370,600096,云天化,1,策略3----macd红柱 yhz,202007112220
372,600630,龙头股份,1,策略3----macd红柱 yhz,202007112220
374,002127,南极电商,1,策略3----macd红柱 yhz,202007112220
376,000400,许继电气,1,策略3----macd红柱 yhz,202007112220
379,002170,芭田股份,1,策略3----macd红柱 yhz,202007112220
381,002594,比亚迪,1,策略3----macd红柱 yhz,202007112220
382,000048,康达尔,1,策略3----macd红柱 yhz,202007112220
383,300477,合纵科技,1,策略3----macd红柱 yhz,202007112220
386,000514,渝 开 发,1,策略3----macd红柱 yhz,202007112220
389,600811,东方集团,1,策略3----macd红柱 yhz,202007112220
391,603123,翠微股份,1,策略3----macd红柱 yhz,202007112220
393,601038,一拖股份,1,策略3----macd红柱 yhz,202007112220
394,600467,好当家,1,策略3----macd红柱 yhz,202007112220
398,000925,众合科技,1,策略3----macd红柱 yhz,202007112220
399,603331,百达精工,1,策略3----macd红柱 yhz,202007112220
402,002287,奇正藏药,1,策略3----macd红柱 yhz,202007112220
403,300280,紫天科技,1,策略3----macd红柱 yhz,202007112220
405,002385,大北农,1,策略3----macd红柱 yhz,202007112220
406,600068,葛洲坝,1,策略3----macd红柱 yhz,202007112220
408,000955,欣龙控股,1,策略3----macd红柱 yhz,202007112220
411,000576,广东甘化,1,策略3----macd红柱 yhz,202007112220
412,002264,新 华 都,1,策略3----macd红柱 yhz,202007112220
415,600723,首商股份,1,策略3----macd红柱 yhz,202007112220
416,002688,金河生物,1,策略3----macd红柱 yhz,202007112220
418,300094,国联水产,1,策略3----macd红柱 yhz,202007112220
419,600573,惠泉啤酒,1,策略3----macd红柱 yhz,202007112220
421,002239,奥特佳,1,策略3----macd红柱 yhz,202007112220
423,600598,北大荒,1,策略3----macd红柱 yhz,202007112220
425,603600,永艺股份,1,策略3----macd红柱 yhz,202007112220
426,000876,新 希 望,1,策略3----macd红柱 yhz,202007112220
427,603385,惠达卫浴,1,策略3----macd红柱 yhz,202007112220
428,603456,九洲药业,1,策略3----macd红柱 yhz,202007112220
430,300318,博晖创新,1,策略3----macd红柱 yhz,202007112220
432,603466,风语筑,1,策略3----macd红柱 yhz,202007112220
433,603970,中农立华,1,策略3----macd红柱 yhz,202007112220
436,600587,新华医疗,1,策略3----macd红柱 yhz,202007112220
437,601012,隆基股份,1,策略3----macd红柱 yhz,202007112220
440,600828,茂业商业,1,策略3----macd红柱 yhz,202007112220
443,603305,旭升股份,1,策略3----macd红柱 yhz,202007112220
446,600543,莫高股份,1,策略3----macd红柱 yhz,202007112220
448,300190,维尔利,1,策略3----macd红柱 yhz,202007112220
449,600031,三一重工,1,策略3----macd红柱 yhz,202007112220
452,601116,三江购物,1,策略3----macd红柱 yhz,202007112220
454,002438,江苏神通,1,策略3----macd红柱 yhz,202007112220
456,002457,青龙管业,1,策略3----macd红柱 yhz,202007112220
458,300008,天海防务,1,策略3----macd红柱 yhz,202007112220
460,600589,广东榕泰,1,策略3----macd红柱 yhz,202007112220
462,300701,森霸传感,1,策略3----macd红柱 yhz,202007112220
464,600089,特变电工,1,策略3----macd红柱 yhz,202007112220
465,000716,黑芝麻,1,策略3----macd红柱 yhz,202007112220
467,600830,香溢融通,1,策略3----macd红柱 yhz,202007112220
468,000061,农 产 品,1,策略3----macd红柱 yhz,202007112220
470,600196,复星医药,1,策略3----macd红柱 yhz,202007112220
471,002856,美芝股份,1,策略3----macd红柱 yhz,202007112220
473,600461,洪城水业,1,策略3----macd红柱 yhz,202007112220
476,000949,新乡化纤,1,策略3----macd红柱 yhz,202007112220
477,002430,杭氧股份,1,策略3----macd红柱 yhz,202007112220
480,603969,银龙股份,1,策略3----macd红柱 yhz,202007112220
482,600067,冠城大通,1,策略3----macd红柱 yhz,202007112220
484,300629,新劲刚,1,策略3----macd红柱 yhz,202007112220
487,300198,纳川股份,1,策略3----macd红柱 yhz,202007112220
489,603038,华立股份,1,策略3----macd红柱 yhz,202007112220
492,300480,光力科技,1,策略3----macd红柱 yhz,202007112220
494,000625,长安汽车,1,策略3----macd红柱 yhz,202007112220
495,300482,万孚生物,1,策略3----macd红柱 yhz,202007112220
497,002154,报 喜 鸟,1,策略3----macd红柱 yhz,202007112220
499,600872,中炬高新,1,策略3----macd红柱 yhz,202007112220
502,002843,泰嘉股份,1,策略3----macd红柱 yhz,202007112220
503,002612,朗姿股份,1,策略3----macd红柱 yhz,202007112220
505,600496,精工钢构,1,策略3----macd红柱 yhz,202007112220
508,600094,大名城,1,策略3----macd红柱 yhz,202007112220
510,000590,启迪古汉,1,策略3----macd红柱 yhz,202007112220
511,600291,西水股份,1,策略3----macd红柱 yhz,202007112220
514,300556,丝路视觉,1,策略3----macd红柱 yhz,202007112220
516,002329,皇氏集团,1,策略3----macd红柱 yhz,202007112220
518,002262,恩华药业,1,策略3----macd红柱 yhz,202007112220
520,603090,宏盛股份,1,策略3----macd红柱 yhz,202007112220
521,603987,康德莱,1,策略3----macd红柱 yhz,202007112220
524,300007,汉威科技,1,策略3----macd红柱 yhz,202007112220
528,603322,超讯通信,1,策略3----macd红柱 yhz,202007112220
530,600791,京能置业,1,策略3----macd红柱 yhz,202007112220
531,300014,亿纬锂能,1,策略3----macd红柱 yhz,202007112220
533,300677,英科医疗,1,策略3----macd红柱 yhz,202007112220
535,300098,高新兴,1,策略3----macd红柱 yhz,202007112220
536,600216,浙江医药,1,策略3----macd红柱 yhz,202007112220
538,002258,利尔化学,1,策略3----macd红柱 yhz,202007112220
539,600502,安徽建工,1,策略3----macd红柱 yhz,202007112220
541,603166,福达股份,1,策略3----macd红柱 yhz,202007112220
544,002726,龙大肉食,1,策略3----macd红柱 yhz,202007112220
546,603606,东方电缆,1,策略3----macd红柱 yhz,202007112220
548,002520,日发精机,1,策略3----macd红柱 yhz,202007112220
550,600581,八一钢铁,1,策略3----macd红柱 yhz,202007112220
551,603229,奥翔药业,1,策略3----macd红柱 yhz,202007112220
552,300530,达志科技,1,策略3----macd红柱 yhz,202007112220
554,600116,三峡水利,1,策略3----macd红柱 yhz,202007112220
555,300485,赛升药业,1,策略3----macd红柱 yhz,202007112220
556,600126,杭钢股份,1,策略3----macd红柱 yhz,202007112220
559,002772,众兴菌业,1,策略3----macd红柱 yhz,202007112220
561,603767,中马传动,1,策略3----macd红柱 yhz,202007112220
563,002601,龙蟒佰利,1,策略3----macd红柱 yhz,202007112220
566,601901,方正证券,1,策略3----macd红柱 yhz,202007112220
567,300420,五洋停车,1,策略3----macd红柱 yhz,202007112220
568,002613,北玻股份,1,策略3----macd红柱 yhz,202007112220
570,600167,联美控股,1,策略3----macd红柱 yhz,202007112220
572,002246,北化股份,1,策略3----macd红柱 yhz,202007112220
573,002132,恒星科技,1,策略3----macd红柱 yhz,202007112220
576,300407,凯发电气,1,策略3----macd红柱 yhz,202007112220
578,001696,宗申动力,1,策略3----macd红柱 yhz,202007112220
580,300551,古鳌科技,1,策略3----macd红柱 yhz,202007112220
581,002862,实丰文化,1,策略3----macd红柱 yhz,202007112220
582,000819,岳阳兴长,1,策略3----macd红柱 yhz,202007112220
583,600960,渤海汽车,1,策略3----macd红柱 yhz,202007112220
585,300621,维业股份,1,策略3----macd红柱 yhz,202007112220
587,000498,山东路桥,1,策略3----macd红柱 yhz,202007112220
590,600297,广汇汽车,1,策略3----macd红柱 yhz,202007112220
593,600774,汉商集团,1,策略3----macd红柱 yhz,202007112220
594,603665,康隆达,1,策略3----macd红柱 yhz,202007112220
596,002004,华邦健康,1,策略3----macd红柱 yhz,202007112220
598,000417,合肥百货,1,策略3----macd红柱 yhz,202007112220
600,300648,星云股份,1,策略3----macd红柱 yhz,202007112220
601,002641,永高股份,1,策略3----macd红柱 yhz,202007112220
603,603638,艾迪精密,1,策略3----macd红柱 yhz,202007112220
605,300056,中创环保,1,策略3----macd红柱 yhz,202007112220
607,002644,佛慈制药,1,策略3----macd红柱 yhz,202007112220
608,000671,阳 光 城,1,策略3----macd红柱 yhz,202007112220
609,002241,歌尔股份,1,策略3----macd红柱 yhz,202007112220
612,600506,香梨股份,1,策略3----macd红柱 yhz,202007112220
615,600383,金地集团,1,策略3----macd红柱 yhz,202007112220
617,002676,顺威股份,1,策略3----macd红柱 yhz,202007112220
619,002616,长青集团,1,策略3----macd红柱 yhz,202007112220
621,002204,大连重工,1,策略3----macd红柱 yhz,202007112220
622,002847,盐津铺子,1,策略3----macd红柱 yhz,202007112220
623,002798,帝欧家居,1,策略3----macd红柱 yhz,202007112220
625,002312,三泰控股,1,策略3----macd红柱 yhz,202007112220
626,300683,海特生物,1,策略3----macd红柱 yhz,202007112220
629,600814,杭州解百,1,策略3----macd红柱 yhz,202007112220
631,002325,洪涛股份,1,策略3----macd红柱 yhz,202007112220
632,000759,中百集团,1,策略3----macd红柱 yhz,202007112220
636,300306,远方信息,1,策略3----macd红柱 yhz,202007112220
638,002910,庄园牧场,1,策略3----macd红柱 yhz,202007112220
639,000731,四川美丰,1,策略3----macd红柱 yhz,202007112220
640,002770,科迪乳业,1,策略3----macd红柱 yhz,202007112220
642,000895,双汇发展,1,策略3----macd红柱 yhz,202007112220
645,000096,广聚能源,1,策略3----macd红柱 yhz,202007112220
647,300642,透景生命,1,策略3----macd红柱 yhz,202007112220
650,600765,中航重机,1,策略3----macd红柱 yhz,202007112220
