,code,name,cl,cljg,qz,files,gxsj
571,603991,至正股份,策略1,处于弱势区域,1,rs,202008200133
574,002772,众兴菌业,策略1,处于弱势区域,1,rs,202008200133
579,002655,共达电声,策略1,处于弱势区域,1,rs,202008200133
580,600883,博闻科技,策略1,处于弱势区域,1,rs,202008200133
586,603711,香飘飘,策略1,处于弱势区域,1,rs,202008200133
588,603900,莱绅通灵,策略1,处于弱势区域,1,rs,202008200133
592,603499,翔港科技,策略1,处于弱势区域,1,rs,202008200133
594,603336,宏辉果蔬,策略1,处于弱势区域,1,rs,202008200133
599,603730,岱美股份,策略1,处于弱势区域,1,rs,202008200133
600,603701,德宏股份,策略1,处于弱势区域,1,rs,202008200133
601,603398,邦宝益智,策略1,处于弱势区域,1,rs,202008200133
628,600681,百川能源,策略1,处于弱势区域,1,rs,202008200133
630,000010,美丽生态,策略1,处于弱势区域,1,rs,202008200133
635,601390,中国中铁,策略1,处于弱势区域,1,rs,202008200133
647,002299,圣农发展,策略1,处于弱势区域,1,rs,202008200133
649,600362,江西铜业,策略1,处于弱势区域,1,rs,202008200133
655,603156,养元饮品,策略1,处于弱势区域,1,rs,202008200133
658,600312,平高电气,策略1,处于弱势区域,1,rs,202008200133
673,300001,特锐德,策略1,处于弱势区域,1,rs,202008200133
676,300422,博世科,策略1,处于弱势区域,1,rs,202008200133
679,000913,钱江摩托,策略1,处于弱势区域,1,rs,202008200133
686,603879,永悦科技,策略1,处于弱势区域,1,rs,202008200133
704,300144,宋城演艺,策略1,处于弱势区域,1,rs,202008200133
709,300498,温氏股份,策略1,处于弱势区域,1,rs,202008200133
711,000932,华菱钢铁,策略1,处于弱势区域,1,rs,202008200133
725,002883,中设股份,策略1,处于弱势区域,1,rs,202008200133
727,600791,京能置业,策略1,处于弱势区域,1,rs,202008200133
734,300446,乐凯新材,策略1,处于弱势区域,1,rs,202008200133
738,300376,易事特,策略1,处于弱势区域,1,rs,202008200133
742,300328,宜安科技,策略1,处于弱势区域,1,rs,202008200133
743,300607,拓斯达,策略1,处于弱势区域,1,rs,202008200133
745,002251,步 步 高,策略1,处于弱势区域,1,rs,202008200133
749,600626,申达股份,策略1,处于弱势区域,1,rs,202008200133
762,600031,三一重工,策略1,处于弱势区域,1,rs,202008200133
770,000037,深南电A,策略1,处于弱势区域,1,rs,202008200133
778,603569,长久物流,策略1,处于弱势区域,1,rs,202008200133
780,002243,通产丽星,策略1,处于弱势区域,1,rs,202008200133
782,002067,景兴纸业,策略1,处于弱势区域,1,rs,202008200133
784,600461,洪城水业,策略1,处于弱势区域,1,rs,202008200133
785,603200,上海洗霸,策略1,处于弱势区域,1,rs,202008200133
786,300145,中金环境,策略1,处于弱势区域,1,rs,202008200133
787,002923,润都股份,策略1,处于弱势区域,1,rs,202008200133
789,300309,吉艾科技,策略1,处于弱势区域,1,rs,202008200133
791,002431,棕榈股份,策略1,处于弱势区域,1,rs,202008200133
796,000729,燕京啤酒,策略1,处于弱势区域,1,rs,202008200133
814,002939,长城证券,策略1,处于弱势区域,1,rs,202008200133
821,603843,正平股份,策略1,处于弱势区域,1,rs,202008200133
824,603360,百傲化学,策略1,处于弱势区域,1,rs,202008200133
825,603297,永新光学,策略1,处于弱势区域,1,rs,202008200133
826,603326,我乐家居,策略1,处于弱势区域,1,rs,202008200133
831,002056,横店东磁,策略1,处于弱势区域,1,rs,202008200133
837,000807,云铝股份,策略1,处于弱势区域,1,rs,202008200133
847,600180,瑞茂通,策略1,处于弱势区域,1,rs,202008200133
858,600059,古越龙山,策略1,处于弱势区域,1,rs,202008200133
859,300520,科大国创,策略1,处于弱势区域,1,rs,202008200133
860,300212,易华录,策略1,处于弱势区域,1,rs,202008200133
862,002365,永安药业,策略1,处于弱势区域,1,rs,202008200133
863,300565,科信技术,策略1,处于弱势区域,1,rs,202008200133
869,600262,北方股份,策略1,处于弱势区域,1,rs,202008200133
874,600409,三友化工,策略1,处于弱势区域,1,rs,202008200133
884,601015,陕西黑猫,策略1,处于弱势区域,1,rs,202008200133
892,300442,普丽盛,策略1,处于弱势区域,1,rs,202008200133
893,300396,迪瑞医疗,策略1,处于弱势区域,1,rs,202008200133
901,002348,高乐股份,策略1,处于弱势区域,1,rs,202008200133
909,000685,中山公用,策略1,处于弱势区域,1,rs,202008200133
913,000429,粤高速Ａ,策略1,处于弱势区域,1,rs,202008200133
915,000029,深深房Ａ,策略1,处于弱势区域,1,rs,202008200133
918,603456,九洲药业,策略1,处于弱势区域,1,rs,202008200133
919,600547,DR山东黄,策略1,处于弱势区域,1,rs,202008200133
921,002851,麦格米特,策略1,处于弱势区域,1,rs,202008200133
926,600088,中视传媒,策略1,处于弱势区域,1,rs,202008200133
930,603917,合力科技,策略1,处于弱势区域,1,rs,202008200133
932,300679,电连技术,策略1,处于弱势区域,1,rs,202008200133
938,000553,安道麦A,策略1,处于弱势区域,1,rs,202008200133
942,600328,中盐化工,策略1,处于弱势区域,1,rs,202008200133
943,600126,杭钢股份,策略1,处于弱势区域,1,rs,202008200133
944,601225,陕西煤业,策略1,处于弱势区域,1,rs,202008200133
946,600182,S佳通,策略1,处于弱势区域,1,rs,202008200133
950,300394,天孚通信,策略1,处于弱势区域,1,rs,202008200133
954,600395,盘江股份,策略1,处于弱势区域,1,rs,202008200133
956,603040,新坐标,策略1,处于弱势区域,1,rs,202008200133
958,000526,紫光学大,策略1,处于弱势区域,1,rs,202008200133
960,600298,安琪酵母,策略1,处于弱势区域,1,rs,202008200133
962,002004,华邦健康,策略1,处于弱势区域,1,rs,202008200133
964,601001,大同煤业,策略1,处于弱势区域,1,rs,202008200133
971,300471,厚普股份,策略1,处于弱势区域,1,rs,202008200133
972,002294,信立泰,策略1,处于弱势区域,1,rs,202008200133
976,600210,紫江企业,策略1,处于弱势区域,1,rs,202008200133
985,002304,洋河股份,策略1,处于弱势区域,1,rs,202008200133
989,601101,昊华能源,策略1,处于弱势区域,1,rs,202008200133
990,000848,承德露露,策略1,处于弱势区域,1,rs,202008200133
993,600051,宁波联合,策略1,处于弱势区域,1,rs,202008200133
995,600822,上海物贸,策略1,处于弱势区域,1,rs,202008200133
998,600288,大恒科技,策略1,处于弱势区域,1,rs,202008200133
999,002295,精艺股份,策略1,处于弱势区域,1,rs,202008200133
1001,600843,上工申贝,策略1,处于弱势区域,1,rs,202008200133
1003,600400,红豆股份,策略1,处于弱势区域,1,rs,202008200133
1008,300117,嘉寓股份,策略1,处于弱势区域,1,rs,202008200133
1011,002666,德联集团,策略1,处于弱势区域,1,rs,202008200133
1017,603096,新经典,策略1,处于弱势区域,1,rs,202008200133
1025,000751,锌业股份,策略1,处于弱势区域,1,rs,202008200133
1026,600094,大名城,策略1,处于弱势区域,1,rs,202008200133
1032,600017,日照港,策略1,处于弱势区域,1,rs,202008200133
1036,300247,融捷健康,策略1,处于弱势区域,1,rs,202008200133
1040,600123,兰花科创,策略1,处于弱势区域,1,rs,202008200133
1042,603799,华友钴业,策略1,处于弱势区域,1,rs,202008200133
1045,002669,康达新材,策略1,处于弱势区域,1,rs,202008200133
1048,603388,元成股份,策略1,处于弱势区域,1,rs,202008200133
1050,600278,东方创业,策略1,处于弱势区域,1,rs,202008200133
