,date,open,close,high,low,volume,amount,turnoverratio,code,ktype,gxrq,gxsj
0,2020-03-24 14:30,3.71,3.82,3.84,3.69,115180.0,{},34.6219,2498,30,2020-06-23,1505
1,2020-03-24 15:00,3.82,3.8,3.85,3.76,159928.0,{},48.0727,2498,30,2020-06-23,1505
2,2020-03-25 10:00,3.88,3.85,3.92,3.78,383255.0,{},115.2024,2498,30,2020-06-23,1505
3,2020-03-25 10:30,3.85,3.87,3.93,3.84,180123.0,{},54.1431,2498,30,2020-06-23,1505
4,2020-03-25 11:00,3.87,3.84,3.88,3.82,61701.0,{},18.5467,2498,30,2020-06-23,1505
5,2020-03-25 11:30,3.84,3.8,3.87,3.8,62070.0,{},18.6576,2498,30,2020-06-23,1505
6,2020-03-25 13:30,3.8,3.82,3.85,3.77,87065.0,{},26.1708,2498,30,2020-06-23,1505
7,2020-03-25 14:00,3.82,3.83,3.84,3.82,54931.0,{},16.5117,2498,30,2020-06-23,1505
8,2020-03-25 14:30,3.83,3.8,3.83,3.79,86745.0,{},26.0746,2498,30,2020-06-23,1505
9,2020-03-25 15:00,3.8,3.85,3.85,3.8,144248.0,{},43.3594,2498,30,2020-06-23,1505
10,2020-03-26 10:00,3.78,3.83,3.83,3.73,220204.0,{},66.191,2498,30,2020-06-23,1505
11,2020-03-26 10:30,3.83,3.81,3.83,3.78,79748.0,{},23.9714,2498,30,2020-06-23,1505
12,2020-03-26 11:00,3.81,3.84,3.86,3.8,94403.0,{},28.3766,2498,30,2020-06-23,1505
13,2020-03-26 11:30,3.84,3.8,3.85,3.77,58502.0,{},17.5851,2498,30,2020-06-23,1505
14,2020-03-26 13:30,3.8,3.77,3.8,3.75,73165.0,{},21.9926,2498,30,2020-06-23,1505
15,2020-03-26 14:00,3.77,3.74,3.77,3.7,132713.0,{},39.8921,2498,30,2020-06-23,1505
16,2020-03-26 14:30,3.74,3.77,3.77,3.7,83528.0,{},25.1076,2498,30,2020-06-23,1505
17,2020-03-26 15:00,3.77,3.72,3.77,3.71,133138.0,{},40.0199,2498,30,2020-06-23,1505
18,2020-03-27 10:00,3.78,3.68,3.8,3.68,191060.0,{},57.4306,2498,30,2020-06-23,1505
19,2020-03-27 10:30,3.68,3.8,3.85,3.64,374155.0,{},112.4671,2498,30,2020-06-23,1505
20,2020-03-27 11:00,3.8,3.84,3.9,3.77,226083.0,{},67.9582,2498,30,2020-06-23,1505
21,2020-03-27 11:30,3.84,3.87,3.88,3.83,82813.0,{},24.8927,2498,30,2020-06-23,1505
22,2020-03-27 13:30,3.87,3.81,3.88,3.8,65014.0,{},19.5425,2498,30,2020-06-23,1505
23,2020-03-27 14:00,3.81,3.79,3.82,3.77,50404.0,{},15.1509,2498,30,2020-06-23,1505
24,2020-03-27 14:30,3.79,3.77,3.8,3.75,53963.0,{},16.2207,2498,30,2020-06-23,1505
25,2020-03-27 15:00,3.77,3.74,3.77,3.72,100643.0,{},30.2522,2498,30,2020-06-23,1505
26,2020-03-30 10:00,3.6,3.7,3.76,3.57,318948.0,{},95.8724,2498,30,2020-06-23,1505
27,2020-03-30 10:30,3.7,3.77,3.84,3.7,210060.0,{},63.1418,2498,30,2020-06-23,1505
28,2020-03-30 11:00,3.77,3.72,3.78,3.7,59687.0,{},17.9413,2498,30,2020-06-23,1505
29,2020-03-30 11:30,3.72,3.77,3.77,3.71,35545.0,{},10.6845,2498,30,2020-06-23,1505
30,2020-03-30 13:30,3.77,3.9,3.95,3.75,285449.0,{},85.803,2498,30,2020-06-23,1505
31,2020-03-30 14:00,3.9,3.96,3.98,3.86,212853.0,{},63.9814,2498,30,2020-06-23,1505
32,2020-03-30 14:30,3.95,3.89,3.96,3.88,114254.0,{},34.3436,2498,30,2020-06-23,1505
33,2020-03-30 15:00,3.89,3.94,3.95,3.85,219491.0,{},65.9767,2498,30,2020-06-23,1505
34,2020-03-31 10:00,3.89,3.85,3.96,3.83,336992.0,{},101.2963,2498,30,2020-06-23,1505
35,2020-03-31 10:30,3.85,3.93,3.94,3.84,125299.0,{},37.6636,2498,30,2020-06-23,1505
36,2020-03-31 11:00,3.93,3.93,3.98,3.89,135041.0,{},40.5919,2498,30,2020-06-23,1505
37,2020-03-31 11:30,3.93,3.89,3.93,3.89,49988.0,{},15.0259,2498,30,2020-06-23,1505
38,2020-03-31 13:30,3.89,3.95,3.95,3.87,59941.0,{},18.0176,2498,30,2020-06-23,1505
39,2020-03-31 14:00,3.95,3.88,3.95,3.86,63470.0,{},19.0784,2498,30,2020-06-23,1505
40,2020-03-31 14:30,3.88,3.87,3.92,3.85,71968.0,{},21.6328,2498,30,2020-06-23,1505
41,2020-03-31 15:00,3.87,3.81,3.88,3.81,174207.0,{},52.3648,2498,30,2020-06-23,1505
42,2020-04-01 10:00,3.81,3.89,3.9,3.72,231338.0,{},69.5378,2498,30,2020-06-23,1505
43,2020-04-01 10:30,3.89,3.81,3.9,3.8,90598.0,{},27.2328,2498,30,2020-06-23,1505
44,2020-04-01 11:00,3.81,3.84,3.84,3.8,40008.0,{},12.026,2498,30,2020-06-23,1505
45,2020-04-01 11:30,3.84,3.79,3.84,3.77,63036.0,{},18.948,2498,30,2020-06-23,1505
46,2020-04-01 13:30,3.79,3.73,3.8,3.73,82643.0,{},24.8416,2498,30,2020-06-23,1505
47,2020-04-01 14:00,3.73,3.7,3.75,3.68,134433.0,{},40.4092,2498,30,2020-06-23,1505
48,2020-04-01 14:30,3.7,3.7,3.74,3.69,71895.0,{},21.6109,2498,30,2020-06-23,1505
49,2020-04-01 15:00,3.7,3.65,3.7,3.63,184219.0,{},55.3743,2498,30,2020-06-23,1505
50,2020-04-02 10:00,3.61,3.74,3.78,3.61,261111.0,{},78.4872,2498,30,2020-06-23,1505
51,2020-04-02 10:30,3.74,3.68,3.74,3.67,72462.0,{},21.7813,2498,30,2020-06-23,1505
52,2020-04-02 11:00,3.68,3.72,3.77,3.67,96085.0,{},28.8821,2498,30,2020-06-23,1505
53,2020-04-02 11:30,3.72,3.72,3.74,3.69,41451.0,{},12.4597,2498,30,2020-06-23,1505
54,2020-04-02 13:30,3.72,3.74,3.76,3.69,84578.0,{},25.4233,2498,30,2020-06-23,1505
55,2020-04-02 14:00,3.74,3.74,3.76,3.73,58350.0,{},17.5394,2498,30,2020-06-23,1505
56,2020-04-02 14:30,3.74,3.83,3.83,3.71,155476.0,{},46.7345,2498,30,2020-06-23,1505
57,2020-04-02 15:00,3.83,3.8,3.83,3.78,155973.0,{},46.8838,2498,30,2020-06-23,1505
58,2020-04-03 10:00,3.76,3.75,3.79,3.7,215021.0,{},64.6331,2498,30,2020-06-23,1505
59,2020-04-03 10:30,3.75,3.72,3.75,3.7,90733.0,{},27.2734,2498,30,2020-06-23,1505
60,2020-04-03 11:00,3.72,3.68,3.74,3.68,68889.0,{},20.7073,2498,30,2020-06-23,1505
