,code,name,cl,cljg,qz,files,gxsj
238,300062,中能电气,策略2,本块中有冲顶,2,cd,202009040857
244,300452,山河药辅,策略2,本块中有冲顶,4,cd,202009040857
248,300499,高澜股份,策略2,本块中有冲顶,2,cd,202009040857
250,300297,蓝盾股份,策略2,本块中有冲顶,1,cd,202009040857
251,300201,海伦哲,策略2,本块中有冲顶,1,cd,202009040857
252,300167,迪威迅,策略2,本块中有冲顶,1,cd,202009040857
255,300025,华星创业,策略2,本块中有冲顶,1,cd,202009040857
261,300539,横河模具,策略2,本块中有冲顶,1,cd,202009040857
267,600809,山西汾酒,策略2,本块中有冲顶,1,cd,202009040857
269,300256,星星科技,策略2,本块中有冲顶,1,cd,202009040857
277,300079,数码科技,策略2,本块中有冲顶,1,cd,202009040857
282,300506,名家汇,策略2,本块中有冲顶,1,cd,202009040857
284,300515,三德科技,策略2,本块中有冲顶,2,cd,202009040857
287,300221,银禧科技,策略2,本块中有冲顶,1,cd,202009040857
290,300335,迪森股份,策略2,本块中有冲顶,1,cd,202009040857
295,300187,永清环保,策略2,本块中有冲顶,2,cd,202009040857
297,000858,五 粮 液,策略2,本块中有冲顶,1,cd,202009040857
298,300688,创业黑马,策略2,本块中有冲顶,1,cd,202009040857
300,300557,理工光科,策略2,本块中有冲顶,1,cd,202009040857
302,300765,新诺威,策略2,本块中有冲顶,1,cd,202009040857
303,300606,金太阳,策略2,本块中有冲顶,2,cd,202009040857
308,300272,开能健康,策略2,本块中有冲顶,3,cd,202009040857
312,600841,上柴股份,策略2,本块中有冲顶,2,cd,202009040857
314,300622,博士眼镜,策略2,本块中有冲顶,1,cd,202009040857
316,300670,大烨智能,策略2,本块中有冲顶,2,cd,202009040857
319,300047,天源迪科,策略2,本块中有冲顶,1,cd,202009040857
322,002519,银河电子,策略2,本块中有冲顶,1,cd,202009040857
324,300008,天海防务,策略2,本块中有冲顶,3,cd,202009040857
326,600176,中国巨石,策略2,本块中有冲顶,5,cd,202009040857
327,002781,奇信股份,策略2,本块中有冲顶,3,cd,202009040857
329,603076,乐惠国际,策略2,本块中有冲顶,2,cd,202009040857
331,300437,清水源,策略2,本块中有冲顶,1,cd,202009040857
332,603303,得邦照明,策略2,本块中有冲顶,1,cd,202009040857
336,300743,天地数码,策略2,本块中有冲顶,2,cd,202009040857
339,300067,安诺其,策略2,本块中有冲顶,1,cd,202009040857
341,300211,亿通科技,策略2,本块中有冲顶,1,cd,202009040857
342,300149,量子生物,策略2,本块中有冲顶,2,cd,202009040857
343,000692,惠天热电,策略2,本块中有冲顶,1,cd,202009040857
345,300074,华平股份,策略2,本块中有冲顶,1,cd,202009040857
350,000799,酒鬼酒,策略2,本块中有冲顶,2,cd,202009040857
355,688369,致远互联,策略2,本块中有冲顶,1,cd,202009040857
356,300466,赛摩智能,策略2,本块中有冲顶,2,cd,202009040857
358,002969,嘉美包装,策略2,本块中有冲顶,2,cd,202009040857
360,300785,值得买,策略2,本块中有冲顶,1,cd,202009040857
364,002367,康力电梯,策略2,本块中有冲顶,3,cd,202009040857
366,300282,三盛教育,策略2,本块中有冲顶,1,cd,202009040857
