,code,name,cl,clname,gxsj
249,002342,巨力索具,1,策略4----高于50(向上趋势中) d501,202007262355
281,603288,海天味业,1,策略4----高于50(向上趋势中) d501,202007262355
284,300427,红相股份,1,策略4----高于50(向上趋势中) d501,202007262355
310,300018,中元股份,1,策略4----高于50(向上趋势中) d501,202007262355
320,600250,南纺股份,1,策略4----高于50(向上趋势中) d501,202007262355
328,603590,康辰药业,1,策略4----高于50(向上趋势中) d501,202007262355
330,601012,隆基股份,1,策略4----高于50(向上趋势中) d501,202007262355
347,600396,金山股份,1,策略4----高于50(向上趋势中) d501,202007262355
352,300274,阳光电源,1,策略4----高于50(向上趋势中) d501,202007262355
353,002791,坚朗五金,1,策略4----高于50(向上趋势中) d501,202007262355
373,600879,航天电子,1,策略4----高于50(向上趋势中) d501,202007262355
388,600760,中航沈飞,1,策略4----高于50(向上趋势中) d501,202007262355
390,000603,盛达资源,1,策略4----高于50(向上趋势中) d501,202007262355
412,603338,浙江鼎力,1,策略4----高于50(向上趋势中) d501,202007262355
414,000560,我爱我家,1,策略4----高于50(向上趋势中) d501,202007262355
416,002772,众兴菌业,1,策略4----高于50(向上趋势中) d501,202007262355
438,600601,方正科技,1,策略4----高于50(向上趋势中) d501,202007262355
439,600803,新奥股份,1,策略4----高于50(向上趋势中) d501,202007262355
442,000738,航发控制,1,策略4----高于50(向上趋势中) d501,202007262355
444,600726,华电能源,1,策略4----高于50(向上趋势中) d501,202007262355
451,300710,万隆光电,1,策略4----高于50(向上趋势中) d501,202007262355
453,300075,数字政通,1,策略4----高于50(向上趋势中) d501,202007262355
474,600620,XD天宸股,1,策略4----高于50(向上趋势中) d501,202007262355
478,603638,艾迪精密,1,策略4----高于50(向上趋势中) d501,202007262355
499,601168,西部矿业,1,策略4----高于50(向上趋势中) d501,202007262355
518,600072,XD中船科,1,策略4----高于50(向上趋势中) d501,202007262355
537,603901,永创智能,1,策略4----高于50(向上趋势中) d501,202007262355
549,603895,天永智能,1,策略4----高于50(向上趋势中) d501,202007262355
554,300065,海兰信,1,策略4----高于50(向上趋势中) d501,202007262355
577,300573,兴齐眼药,1,策略4----高于50(向上趋势中) d501,202007262355
581,002245,澳洋顺昌,1,策略4----高于50(向上趋势中) d501,202007262355
582,300692,中环环保,1,策略4----高于50(向上趋势中) d501,202007262355
