,code,name,cl,cljg,qz,files,gxsj
476,002283,天润工业,策略5,趋同折点买前,6,bsq6,202008051532
480,002429,兆驰股份,策略5,趋同折点买前,6,bsq6,202008051532
483,000089,深圳机场,策略5,趋同折点买前,6,bsq6,202008051532
492,300171,东富龙,策略5,趋同折点买前,6,bsq6,202008051532
494,300466,赛摩智能,策略5,趋同折点买前,6,bsq6,202008051532
497,002589,瑞康医药,策略5,趋同折点买前,6,bsq6,202008051532
506,002096,南岭民爆,策略5,趋同折点买前,6,bsq6,202008051532
511,300664,鹏鹞环保,策略5,趋同折点买前,6,bsq6,202008051532
517,601555,东吴证券,策略5,趋同折点买前,6,bsq6,202008051532
522,000530,冰山冷热,策略5,趋同折点买前,6,bsq6,202008051532
537,002666,德联集团,策略5,趋同折点买前,6,bsq6,202008051532
542,300239,东宝生物,策略5,趋同折点买前,6,bsq6,202008051532
548,300443,金雷股份,策略5,趋同折点买前,6,bsq6,202008051532
557,300580,贝斯特,策略5,趋同折点买前,6,bsq6,202008051532
560,002433,太安堂,策略5,趋同折点买前,6,bsq6,202008051532
564,000155,川能动力,策略5,趋同折点买前,6,bsq6,202008051532
573,600998,九州通,策略5,趋同折点买前,6,bsq6,202008051532
575,300433,蓝思科技,策略5,趋同折点买前,6,bsq6,202008051532
586,000537,广宇发展,策略5,趋同折点买前,6,bsq6,202008051532
589,603896,寿仙谷,策略5,趋同折点买前,6,bsq6,202008051532
599,603856,东宏股份,策略5,趋同折点买前,6,bsq6,202008051532
603,300468,四方精创,策略5,趋同折点买前,6,bsq6,202008051532
610,600875,东方电气,策略5,趋同折点买前,6,bsq6,202008051532
618,603969,银龙股份,策略5,趋同折点买前,6,bsq6,202008051532
624,002938,鹏鼎控股,策略5,趋同折点买前,6,bsq6,202008051532
628,300202,聚龙股份,策略5,趋同折点买前,6,bsq6,202008051532
634,600847,万里股份,策略5,趋同折点买前,6,bsq6,202008051532
641,603187,海容冷链,策略5,趋同折点买前,6,bsq6,202008051532
645,000950,重药控股,策略5,趋同折点买前,6,bsq6,202008051532
658,600511,国药股份,策略5,趋同折点买前,6,bsq6,202008051532
665,000153,丰原药业,策略5,趋同折点买前,6,bsq6,202008051532
668,600833,第一医药,策略5,趋同折点买前,6,bsq6,202008051532
673,002170,芭田股份,策略5,趋同折点买前,6,bsq6,202008051532
678,601218,吉鑫科技,策略5,趋同折点买前,6,bsq6,202008051532
682,300102,乾照光电,策略5,趋同折点买前,6,bsq6,202008051532
692,300014,亿纬锂能,策略5,趋同折点买前,6,bsq6,202008051532
696,300129,泰胜风能,策略5,趋同折点买前,6,bsq6,202008051532
700,600200,江苏吴中,策略5,趋同折点买前,6,bsq6,202008051532
702,600195,中牧股份,策略5,趋同折点买前,6,bsq6,202008051532
706,002895,川恒股份,策略5,趋同折点买前,6,bsq6,202008051532
710,002639,雪人股份,策略5,趋同折点买前,6,bsq6,202008051532
717,600881,亚泰集团,策略5,趋同折点买前,6,bsq6,202008051532
723,002654,万润科技,策略5,趋同折点买前,6,bsq6,202008051532
729,603882,金域医学,策略5,趋同折点买前,6,bsq6,202008051532
741,002578,闽发铝业,策略5,趋同折点买前,6,bsq6,202008051532
747,300465,高伟达,策略5,趋同折点买前,6,bsq6,202008051532
754,600662,强生控股,策略5,趋同折点买前,6,bsq6,202008051532
756,002432,九安医疗,策略5,趋同折点买前,6,bsq6,202008051532
758,300110,华仁药业,策略5,趋同折点买前,6,bsq6,202008051532
772,002688,金河生物,策略5,趋同折点买前,6,bsq6,202008051532
776,300199,翰宇药业,策略5,趋同折点买前,6,bsq6,202008051532
804,600222,太龙药业,策略5,趋同折点买前,6,bsq6,202008051532
808,300238,冠昊生物,策略5,趋同折点买前,6,bsq6,202008051532
810,603277,银都股份,策略5,趋同折点买前,6,bsq6,202008051532
815,600422,昆药集团,策略5,趋同折点买前,6,bsq6,202008051532
822,002118,紫鑫药业,策略5,趋同折点买前,6,bsq6,202008051532
824,002475,立讯精密,策略5,趋同折点买前,6,bsq6,202008051532
831,002252,上海莱士,策略5,趋同折点买前,6,bsq6,202008051532
840,300565,科信技术,策略5,趋同折点买前,6,bsq6,202008051532
852,002531,天顺风能,策略5,趋同折点买前,6,bsq6,202008051532
857,000913,钱江摩托,策略5,趋同折点买前,6,bsq6,202008051532
869,002937,兴瑞科技,策略5,趋同折点买前,6,bsq6,202008051532
876,603963,大理药业,策略5,趋同折点买前,6,bsq6,202008051532
885,603866,桃李面包,策略5,趋同折点买前,6,bsq6,202008051532
887,300519,新光药业,策略5,趋同折点买前,6,bsq6,202008051532
894,603737,三棵树,策略5,趋同折点买前,6,bsq6,202008051532
902,603871,嘉友国际,策略5,趋同折点买前,6,bsq6,202008051532
909,000782,美达股份,策略5,趋同折点买前,6,bsq6,202008051532
916,600986,科达股份,策略5,趋同折点买前,6,bsq6,202008051532
918,300317,珈伟新能,策略5,趋同折点买前,6,bsq6,202008051532
921,300701,森霸传感,策略5,趋同折点买前,6,bsq6,202008051532
930,002919,名臣健康,策略5,趋同折点买前,6,bsq6,202008051532
937,002172,澳洋健康,策略5,趋同折点买前,6,bsq6,202008051532
941,002728,特一药业,策略5,趋同折点买前,6,bsq6,202008051532
948,000058,深 赛 格,策略5,趋同折点买前,6,bsq6,202008051532
954,300043,星辉娱乐,策略5,趋同折点买前,6,bsq6,202008051532
958,002693,双成药业,策略5,趋同折点买前,6,bsq6,202008051532
961,600486,扬农化工,策略5,趋同折点买前,6,bsq6,202008051532
963,300095,华伍股份,策略5,趋同折点买前,6,bsq6,202008051532
966,000987,越秀金控,策略5,趋同折点买前,6,bsq6,202008051532
989,300181,佐力药业,策略5,趋同折点买前,6,bsq6,202008051532
1002,603321,梅轮电梯,策略5,趋同折点买前,6,bsq6,202008051532
1007,002907,华森制药,策略5,趋同折点买前,6,bsq6,202008051532
1019,300213,佳讯飞鸿,策略5,趋同折点买前,6,bsq6,202008051532
1031,603133,碳元科技,策略5,趋同折点买前,6,bsq6,202008051532
1036,000822,山东海化,策略5,趋同折点买前,6,bsq6,202008051532
1040,603648,畅联股份,策略5,趋同折点买前,6,bsq6,202008051532
1048,300118,东方日升,策略5,趋同折点买前,6,bsq6,202008051532
1052,603367,辰欣药业,策略5,趋同折点买前,6,bsq6,202008051532
1069,600789,鲁抗医药,策略5,趋同折点买前,6,bsq6,202008051532
1074,002864,盘龙药业,策略5,趋同折点买前,6,bsq6,202008051532
1077,300733,西菱动力,策略5,趋同折点买前,6,bsq6,202008051532
1080,000541,佛山照明,策略5,趋同折点买前,6,bsq6,202008051532
1092,300039,上海凯宝,策略5,趋同折点买前,6,bsq6,202008051532
1098,002026,山东威达,策略5,趋同折点买前,6,bsq6,202008051532
1100,600018,XD上港集,策略5,趋同折点买前,6,bsq6,202008051532
1110,601566,九牧王,策略5,趋同折点买前,6,bsq6,202008051532
1114,300088,长信科技,策略5,趋同折点买前,6,bsq6,202008051532
1123,603060,国检集团,策略5,趋同折点买前,6,bsq6,202008051532
1131,002022,科华生物,策略5,趋同折点买前,6,bsq6,202008051532
1139,300693,盛弘股份,策略5,趋同折点买前,6,bsq6,202008051532
1150,600746,江苏索普,策略5,趋同折点买前,6,bsq6,202008051532
1156,002424,贵州百灵,策略5,趋同折点买前,6,bsq6,202008051532
1158,300629,新劲刚,策略5,趋同折点买前,6,bsq6,202008051532
1198,603708,家家悦,策略5,趋同折点买前,6,bsq6,202008051532
1202,002817,黄山胶囊,策略5,趋同折点买前,6,bsq6,202008051532
1207,300067,安诺其,策略5,趋同折点买前,6,bsq6,202008051532
1209,002771,真视通,策略5,趋同折点买前,6,bsq6,202008051532
1211,603380,易德龙,策略5,趋同折点买前,6,bsq6,202008051532
1214,002813,路畅科技,策略5,趋同折点买前,6,bsq6,202008051532
1225,002595,豪迈科技,策略5,趋同折点买前,6,bsq6,202008051532
1248,600513,联环药业,策略5,趋同折点买前,6,bsq6,202008051532
1253,603050,科林电气,策略5,趋同折点买前,6,bsq6,202008051532
1256,603878,武进不锈,策略5,趋同折点买前,6,bsq6,202008051532
1258,002781,奇信股份,策略5,趋同折点买前,6,bsq6,202008051532
1260,603730,岱美股份,策略5,趋同折点买前,6,bsq6,202008051532
1263,300501,海顺新材,策略5,趋同折点买前,6,bsq6,202008051532
1266,603928,兴业股份,策略5,趋同折点买前,6,bsq6,202008051532
1303,603008,喜临门,策略5,趋同折点买前,6,bsq6,202008051532
1348,002495,佳隆股份,策略5,趋同折点买前,6,bsq6,202008051532
1354,000545,金浦钛业,策略5,趋同折点买前,6,bsq6,202008051532
1360,300108,吉药控股,策略5,趋同折点买前,6,bsq6,202008051532
1372,300122,智飞生物,策略5,趋同折点买前,6,bsq6,202008051532
1375,002868,绿康生化,策略5,趋同折点买前,6,bsq6,202008051532
1385,300158,振东制药,策略5,趋同折点买前,6,bsq6,202008051532
1392,300569,天能重工,策略5,趋同折点买前,6,bsq6,202008051532
1398,600822,上海物贸,策略5,趋同折点买前,6,bsq6,202008051532
1406,300004,南风股份,策略5,趋同折点买前,6,bsq6,202008051532
1416,603556,海兴电力,策略5,趋同折点买前,6,bsq6,202008051532
1428,603288,海天味业,策略5,趋同折点买前,6,bsq6,202008051532
1454,600178,东安动力,策略5,趋同折点买前,6,bsq6,202008051532
1456,002449,国星光电,策略5,趋同折点买前,6,bsq6,202008051532
1458,002431,棕榈股份,策略5,趋同折点买前,6,bsq6,202008051532
1470,002166,莱茵生物,策略5,趋同折点买前,6,bsq6,202008051532
1473,600458,时代新材,策略5,趋同折点买前,6,bsq6,202008051532
1476,000919,金陵药业,策略5,趋同折点买前,6,bsq6,202008051532
1484,002011,盾安环境,策略5,趋同折点买前,6,bsq6,202008051532
1488,603377,东方时尚,策略5,趋同折点买前,6,bsq6,202008051532
1491,300743,天地数码,策略5,趋同折点买前,6,bsq6,202008051532
1503,603618,杭电股份,策略5,趋同折点买前,6,bsq6,202008051532
1508,000767,漳泽电力,策略5,趋同折点买前,6,bsq6,202008051532
1514,000020,深华发Ａ,策略5,趋同折点买前,6,bsq6,202008051532
1518,000597,东北制药,策略5,趋同折点买前,6,bsq6,202008051532
1521,000529,广弘控股,策略5,趋同折点买前,6,bsq6,202008051532
1525,600829,人民同泰,策略5,趋同折点买前,6,bsq6,202008051532
1554,000068,华控赛格,策略5,趋同折点买前,6,bsq6,202008051532
1558,603022,新通联,策略5,趋同折点买前,6,bsq6,202008051532
1572,603299,苏盐井神,策略5,趋同折点买前,6,bsq6,202008051532
1580,603590,康辰药业,策略5,趋同折点买前,6,bsq6,202008051532
1582,300154,瑞凌股份,策略5,趋同折点买前,6,bsq6,202008051532
1588,300525,博思软件,策略5,趋同折点买前,6,bsq6,202008051532
1593,603129,春风动力,策略5,趋同折点买前,6,bsq6,202008051532
1613,600757,长江传媒,策略5,趋同折点买前,6,bsq6,202008051532
1619,002454,松芝股份,策略5,趋同折点买前,6,bsq6,202008051532
1647,002644,佛慈制药,策略5,趋同折点买前,6,bsq6,202008051532
1659,300583,赛托生物,策略5,趋同折点买前,6,bsq6,202008051532
1669,300076,GQY视讯,策略5,趋同折点买前,6,bsq6,202008051532
1692,603366,日出东方,策略5,趋同折点买前,6,bsq6,202008051532
1694,002390,信邦制药,策略5,趋同折点买前,6,bsq6,202008051532
1716,600981,汇鸿集团,策略5,趋同折点买前,6,bsq6,202008051532
1753,002437,誉衡药业,策略5,趋同折点买前,6,bsq6,202008051532
1760,300147,香雪制药,策略5,趋同折点买前,6,bsq6,202008051532
1766,600163,中闽能源,策略5,趋同折点买前,6,bsq6,202008051532
1772,600192,长城电工,策略5,趋同折点买前,6,bsq6,202008051532
1776,002469,三维工程,策略5,趋同折点买前,6,bsq6,202008051532
1787,002349,精华制药,策略5,趋同折点买前,6,bsq6,202008051532
1795,600420,现代制药,策略5,趋同折点买前,6,bsq6,202008051532
1801,300135,宝利国际,策略5,趋同折点买前,6,bsq6,202008051532
1803,300082,奥克股份,策略5,趋同折点买前,6,bsq6,202008051532
1826,601811,新华文轩,策略5,趋同折点买前,6,bsq6,202008051532
1828,601198,东兴证券,策略5,趋同折点买前,6,bsq6,202008051532
1833,600051,宁波联合,策略5,趋同折点买前,6,bsq6,202008051532
1837,600093,易见股份,策略5,趋同折点买前,6,bsq6,202008051532
1842,600637,东方明珠,策略5,趋同折点买前,6,bsq6,202008051532
1852,002733,雄韬股份,策略5,趋同折点买前,6,bsq6,202008051532
1863,000755,山西路桥,策略5,趋同折点买前,6,bsq6,202008051532
1869,300732,设研院,策略5,趋同折点买前,6,bsq6,202008051532
1890,002152,广电运通,策略5,趋同折点买前,6,bsq6,202008051532
1927,600572,康恩贝,策略5,趋同折点买前,6,bsq6,202008051532
1944,002841,视源股份,策略5,趋同折点买前,6,bsq6,202008051532
1975,600682,南京新百,策略5,趋同折点买前,6,bsq6,202008051532
1989,002038,双鹭药业,策略5,趋同折点买前,6,bsq6,202008051532
2004,000038,深大通,策略5,趋同折点买前,6,bsq6,202008051532
2013,002435,长江健康,策略5,趋同折点买前,6,bsq6,202008051532
2015,002379,宏创控股,策略5,趋同折点买前,6,bsq6,202008051532
2017,002898,赛隆药业,策略5,趋同折点买前,6,bsq6,202008051532
2021,600497,驰宏锌锗,策略5,趋同折点买前,6,bsq6,202008051532
2023,600021,上海电力,策略5,趋同折点买前,6,bsq6,202008051532
2027,300677,英科医疗,策略5,趋同折点买前,6,bsq6,202008051532
2035,000037,深南电A,策略5,趋同折点买前,6,bsq6,202008051532
2052,300477,合纵科技,策略5,趋同折点买前,6,bsq6,202008051532
2054,600227,圣济堂,策略5,趋同折点买前,6,bsq6,202008051532
2084,002856,美芝股份,策略5,趋同折点买前,6,bsq6,202008051532
2122,600488,天药股份,策略5,趋同折点买前,6,bsq6,202008051532
2133,300402,宝色股份,策略5,趋同折点买前,6,bsq6,202008051532
2136,600332,白云山,策略5,趋同折点买前,6,bsq6,202008051532
2159,600161,天坛生物,策略5,趋同折点买前,6,bsq6,202008051532
2165,000751,锌业股份,策略5,趋同折点买前,6,bsq6,202008051532
2168,000596,古井贡酒,策略5,趋同折点买前,6,bsq6,202008051532
2189,000728,国元证券,策略5,趋同折点买前,6,bsq6,202008051532
2193,600063,皖维高新,策略5,趋同折点买前,6,bsq6,202008051532
2204,603266,天龙股份,策略5,趋同折点买前,6,bsq6,202008051532
2212,600976,健民集团,策略5,趋同折点买前,6,bsq6,202008051532
2225,600745,闻泰科技,策略5,趋同折点买前,6,bsq6,202008051532
2230,600249,两面针,策略5,趋同折点买前,6,bsq6,202008051532
2244,600436,片仔癀,策略5,趋同折点买前,6,bsq6,202008051532
2277,000010,美丽生态,策略5,趋同折点买前,6,bsq6,202008051532
2288,600098,广州发展,策略5,趋同折点买前,6,bsq6,202008051532
2296,002559,亚威股份,策略5,趋同折点买前,6,bsq6,202008051532
2309,002055,得润电子,策略5,趋同折点买前,6,bsq6,202008051532
2312,601155,新城控股,策略5,趋同折点买前,6,bsq6,202008051532
2349,002251,步 步 高,策略5,趋同折点买前,6,bsq6,202008051532
2370,601021,春秋航空,策略5,趋同折点买前,6,bsq6,202008051532
2382,603037,凯众股份,策略5,趋同折点买前,6,bsq6,202008051532
2390,601633,长城汽车,策略5,趋同折点买前,6,bsq6,202008051532
2392,002940,昂利康,策略5,趋同折点买前,6,bsq6,202008051532
2398,300289,利德曼,策略5,趋同折点买前,6,bsq6,202008051532
2403,600780,通宝能源,策略5,趋同折点买前,6,bsq6,202008051532
2412,002101,广东鸿图,策略5,趋同折点买前,6,bsq6,202008051532
2422,603980,吉华集团,策略5,趋同折点买前,6,bsq6,202008051532
2442,000333,美的集团,策略5,趋同折点买前,6,bsq6,202008051532
2457,300405,科隆股份,策略5,趋同折点买前,6,bsq6,202008051532
2464,300438,鹏辉能源,策略5,趋同折点买前,6,bsq6,202008051532
2474,000150,宜华健康,策略5,趋同折点买前,6,bsq6,202008051532
2476,000960,锡业股份,策略5,趋同折点买前,6,bsq6,202008051532
2483,603578,三星新材,策略5,趋同折点买前,6,bsq6,202008051532
2488,000027,深圳能源,策略5,趋同折点买前,6,bsq6,202008051532
2490,300100,双林股份,策略5,趋同折点买前,6,bsq6,202008051532
2509,603778,乾景园林,策略5,趋同折点买前,6,bsq6,202008051532
