,code,name,cl,cljg,qz,files,gxsj
231,300613,富瀚微,策略3,主升浪一型,1,zs,202008051532
234,600165,新日恒力,策略3,主升浪一型,2,zs,202008051532
236,002103,广博股份,策略3,主升浪一型,1,zs,202008051532
239,002386,天原集团,策略3,主升浪一型,1,zs,202008051532
243,000591,太阳能,策略3,主升浪一型,2,zs,202008051532
245,000908,景峰医药,策略3,主升浪一型,2,zs,202008051532
246,002671,龙泉股份,策略3,主升浪一型,1,zs,202008051532
248,300094,国联水产,策略3,主升浪一型,1,zs,202008051532
251,002241,歌尔股份,策略3,主升浪一型,1,zs,202008051532
254,002202,金风科技,策略3,主升浪一型,1,zs,202008051532
256,300225,金力泰,策略3,主升浪一型,1,zs,202008051532
258,600812,华北制药,策略3,主升浪一型,1,zs,202008051532
261,600988,赤峰黄金,策略3,主升浪一型,1,zs,202008051532
263,002674,兴业科技,策略3,主升浪一型,2,zs,202008051532
265,002233,塔牌集团,策略3,主升浪一型,2,zs,202008051532
267,600467,好当家,策略3,主升浪一型,1,zs,202008051532
270,002165,红 宝 丽,策略3,主升浪一型,1,zs,202008051532
272,300522,世名科技,策略3,主升浪一型,2,zs,202008051532
273,300303,聚飞光电,策略3,主升浪一型,1,zs,202008051532
276,300013,新宁物流,策略3,主升浪一型,2,zs,202008051532
278,600285,羚锐制药,策略3,主升浪一型,2,zs,202008051532
280,601888,中国中免,策略3,主升浪一型,2,zs,202008051532
284,600587,新华医疗,策略3,主升浪一型,2,zs,202008051532
286,600810,神马股份,策略3,主升浪一型,1,zs,202008051532
288,000668,荣丰控股,策略3,主升浪一型,1,zs,202008051532
291,600483,福能股份,策略3,主升浪一型,1,zs,202008051532
292,300374,恒通科技,策略3,主升浪一型,1,zs,202008051532
295,000990,诚志股份,策略3,主升浪一型,2,zs,202008051532
297,300712,永福股份,策略3,主升浪一型,1,zs,202008051532
299,002812,恩捷股份,策略3,主升浪一型,1,zs,202008051532
301,603301,振德医疗,策略3,主升浪一型,2,zs,202008051532
304,603601,再升科技,策略3,主升浪一型,2,zs,202008051532
307,601636,旗滨集团,策略3,主升浪一型,2,zs,202008051532
310,300648,星云股份,策略3,主升浪一型,1,zs,202008051532
312,002537,海联金汇,策略3,主升浪一型,1,zs,202008051532
315,300086,康芝药业,策略3,主升浪一型,2,zs,202008051532
318,603557,起步股份,策略3,主升浪一型,1,zs,202008051532
319,000032,深桑达Ａ,策略3,主升浪一型,2,zs,202008051532
322,603339,四方科技,策略3,主升浪一型,1,zs,202008051532
325,300042,朗科科技,策略3,主升浪一型,1,zs,202008051532
327,000829,天音控股,策略3,主升浪一型,2,zs,202008051532
329,600693,东百集团,策略3,主升浪一型,2,zs,202008051532
332,600873,梅花生物,策略3,主升浪一型,2,zs,202008051532
333,300314,戴维医疗,策略3,主升浪一型,1,zs,202008051532
336,600477,杭萧钢构,策略3,主升浪一型,1,zs,202008051532
337,600884,杉杉股份,策略3,主升浪一型,1,zs,202008051532
339,000791,甘肃电投,策略3,主升浪一型,1,zs,202008051532
344,300390,天华超净,策略3,主升浪一型,2,zs,202008051532
347,300617,安靠智电,策略3,主升浪一型,2,zs,202008051532
348,300386,飞天诚信,策略3,主升浪一型,2,zs,202008051532
351,000006,深振业Ａ,策略3,主升浪一型,2,zs,202008051532
354,002278,神开股份,策略3,主升浪一型,2,zs,202008051532
356,002517,恺英网络,策略3,主升浪一型,2,zs,202008051532
357,300232,洲明科技,策略3,主升浪一型,1,zs,202008051532
359,603368,柳药股份,策略3,主升浪一型,1,zs,202008051532
362,600230,沧州大化,策略3,主升浪一型,1,zs,202008051532
363,000606,顺利办,策略3,主升浪一型,1,zs,202008051532
367,603309,维力医疗,策略3,主升浪一型,2,zs,202008051532
369,300234,开尔新材,策略3,主升浪一型,2,zs,202008051532
