,code,name,cl,clname,gxsj
268,002562,兄弟科技,1,策略4----高于50(向上趋势中) d50,202007112220
270,000930,中粮科技,1,策略4----高于50(向上趋势中) d50,202007112220
273,603020,爱普股份,1,策略4----高于50(向上趋势中) d50,202007112220
277,300440,运达科技,1,策略4----高于50(向上趋势中) d50,202007112220
280,600073,上海梅林,1,策略4----高于50(向上趋势中) d50,202007112220
284,002375,亚厦股份,1,策略4----高于50(向上趋势中) d50,202007112220
287,603357,设计总院,1,策略4----高于50(向上趋势中) d50,202007112220
290,300516,久之洋,1,策略4----高于50(向上趋势中) d50,202007112220
292,601002,晋亿实业,1,策略4----高于50(向上趋势中) d50,202007112220
294,300310,宜通世纪,1,策略4----高于50(向上趋势中) d50,202007112220
296,002865,钧达股份,1,策略4----高于50(向上趋势中) d50,202007112220
299,000848,承德露露,1,策略4----高于50(向上趋势中) d50,202007112220
303,002221,东华能源,1,策略4----高于50(向上趋势中) d50,202007112220
305,300419,浩丰科技,1,策略4----高于50(向上趋势中) d50,202007112220
307,300525,博思软件,1,策略4----高于50(向上趋势中) d50,202007112220
310,002719,麦趣尔,1,策略4----高于50(向上趋势中) d50,202007112220
315,002062,宏润建设,1,策略4----高于50(向上趋势中) d50,202007112220
322,300461,田中精机,1,策略4----高于50(向上趋势中) d50,202007112220
324,600871,石化油服,1,策略4----高于50(向上趋势中) d50,202007112220
326,002650,加加食品,1,策略4----高于50(向上趋势中) d50,202007112220
328,000534,万泽股份,1,策略4----高于50(向上趋势中) d50,202007112220
330,002820,桂发祥,1,策略4----高于50(向上趋势中) d50,202007112220
332,600729,重庆百货,1,策略4----高于50(向上趋势中) d50,202007112220
334,002551,尚荣医疗,1,策略4----高于50(向上趋势中) d50,202007112220
336,002761,多喜爱,1,策略4----高于50(向上趋势中) d50,202007112220
338,002503,搜于特,1,策略4----高于50(向上趋势中) d50,202007112220
340,002060,粤 水 电,1,策略4----高于50(向上趋势中) d50,202007112220
342,002087,新野纺织,1,策略4----高于50(向上趋势中) d50,202007112220
347,300003,乐普医疗,1,策略4----高于50(向上趋势中) d50,202007112220
349,000635,英 力 特,1,策略4----高于50(向上趋势中) d50,202007112220
356,600057,厦门象屿,1,策略4----高于50(向上趋势中) d50,202007112220
358,002538,司尔特,1,策略4----高于50(向上趋势中) d50,202007112220
361,300527,中国应急,1,策略4----高于50(向上趋势中) d50,202007112220
363,300174,元力股份,1,策略4----高于50(向上趋势中) d50,202007112220
366,600651,飞乐音响,1,策略4----高于50(向上趋势中) d50,202007112220
369,600096,云天化,1,策略4----高于50(向上趋势中) d50,202007112220
371,600630,龙头股份,1,策略4----高于50(向上趋势中) d50,202007112220
373,002127,南极电商,1,策略4----高于50(向上趋势中) d50,202007112220
375,000400,许继电气,1,策略4----高于50(向上趋势中) d50,202007112220
377,600764,中国海防,1,策略4----高于50(向上趋势中) d50,202007112220
378,002170,芭田股份,1,策略4----高于50(向上趋势中) d50,202007112220
380,002594,比亚迪,1,策略4----高于50(向上趋势中) d50,202007112220
384,000514,渝 开 发,1,策略4----高于50(向上趋势中) d50,202007112220
388,600811,东方集团,1,策略4----高于50(向上趋势中) d50,202007112220
390,603123,翠微股份,1,策略4----高于50(向上趋势中) d50,202007112220
392,601038,一拖股份,1,策略4----高于50(向上趋势中) d50,202007112220
395,002124,天邦股份,1,策略4----高于50(向上趋势中) d50,202007112220
397,000925,众合科技,1,策略4----高于50(向上趋势中) d50,202007112220
400,002341,新纶科技,1,策略4----高于50(向上趋势中) d50,202007112220
401,002287,奇正藏药,1,策略4----高于50(向上趋势中) d50,202007112220
404,002385,大北农,1,策略4----高于50(向上趋势中) d50,202007112220
407,000955,欣龙控股,1,策略4----高于50(向上趋势中) d50,202007112220
410,000576,广东甘化,1,策略4----高于50(向上趋势中) d50,202007112220
